-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1981 through 12/31/2022 
Location: Latitude  -7.7869   Longitude 110.3633 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 159.13 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1981,25.47,25.69,26.25,26.04,25.67,24.86,24.55,24.37,25.28,25.51,25.3,25.62,25.38
T2M,1982,24.83,25.49,25.2,25.87,25.01,24.45,24.41,24.37,25.19,26.37,27.68,26.79,25.47
T2M,1983,26.13,26.56,26.94,26.87,25.96,24.94,23.58,24.16,25.55,26.42,26.09,25.33,25.7
T2M,1984,25.34,25.23,25.35,26.19,25.87,24.37,23.86,24.54,24.86,25.1,25.82,24.98,25.12
T2M,1985,25.25,25.7,25.48,25.8,25.83,24.92,24.2,23.87,24.55,25.55,25.54,25.23,25.15
T2M,1986,25.23,25.01,25.26,25.72,25.37,25.09,23.82,23.17,24.29,24.8,25.09,25.66,24.87
T2M,1987,25.47,25.68,26.03,26.15,25.8,25.1,24.6,24.38,25.42,26.29,26.3,25.71,25.58
T2M,1988,26.06,26.08,26.79,26.35,26.52,25.04,23.98,25.08,26.47,26.4,25.75,25.06,25.8
T2M,1989,25.75,25.23,25.39,25.75,25.98,25.26,25.08,24.73,25.62,26.16,25.94,26.34,25.61
T2M,1990,26.01,26.15,25.94,26.59,26.15,25.65,24.87,25.05,25.82,26.82,26.73,25.89,25.97
T2M,1991,25.67,25.71,26.36,25.77,25.48,24.9,24.8,25.19,26.01,26.71,25.83,25.95,25.7
T2M,1992,25.82,25.55,26.36,26.32,26.5,25.58,24.9,24.81,24.69,24.95,25.51,25.28,25.52
