-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2011 through 12/31/2020 
Location: Latitude  -8.0326   Longitude 112.9367 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 376.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2011,24.33,24.61,24.76,24.65,24.48,23.05,23.48,24.1,25.15,26.76,25.99,25.51,24.74
T2M,2012,24.62,24.87,24.57,25.15,24.39,23.64,23.37,23.98,25.64,27.21,27.33,25.98,25.06
T2M,2013,24.93,25.23,25.3,25.37,25.3,24.86,23.33,23.16,24.59,27.04,26.71,25.24,25.08
T2M,2014,24.59,24.88,25.51,25.43,25.42,24.65,24.02,24.58,25.49,27.08,27.48,25.49,25.39
T2M,2015,24.89,24.94,25.05,25.3,24.33,23.76,23.96,24.55,25.62,27.32,27.86,26.64,25.35
T2M,2016,26.68,25.48,26.2,26.12,25.93,25.14,24.79,24.37,25.93,25.59,25.51,24.98,25.56
T2M,2017,24.97,24.77,25.36,25.19,24.71,24.15,23.55,24.07,25.83,27.03,26.15,25.28,25.08
T2M,2018,24.74,24.73,25.22,25.6,24.93,24.76,23.91,24.15,25.86,27.17,26.73,25.45,25.27
T2M,2019,25.44,25.54,25.23,25.56,24.62,23.94,24.08,24.49,25.39,27.25,28.27,27.81,25.63
T2M,2020,26.49,25.72,25.82,25.78,25.57,24.28,23.73,24.84,26.25,26.55,26.37,24.93,25.52
